#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ABAQUSLM","0","221","4294967295","9744384","2605056","19224",,,"0.03125",,,,,"Process","8",,"False",,"5852","Microsoft.Win32.SafeHandles.SafeProcessHandle","221","13620",".","0","",,"1413120","204800",,"19224","19224","2605056","2605056","114992","114992","2736128","2736128","9789440","9789440","-1","4294967295","True","Normal","2605056","2605056","00:00:00.0156250","ABAQUSLM","255","True","0","System.Diagnostics.ProcessStartInfo","6/27/2023 8:45:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","-1","4294967295","False",,,,"9744384","9744384",,
"AppHelperCap","0","537","4294967295","20701184","8355840","20912",,,"13.625",,,,,"Process","8",,"False",,"5432","Microsoft.Win32.SafeHandles.SafeProcessHandle","537","1228",".","0","",,"1413120","204800",,"20912","20912","8355840","8355840","198160","198160","9105408","9105408","26255360","26255360","-1","4294967295","True","Normal","8355840","8355840","00:00:04.4531250","AppHelperCap","255","True","0","System.Diagnostics.ProcessStartInfo","6/20/2023 6:44:05 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:13.6250000","00:00:09.1718750","-1","4294967295","False",,,,"20701184","20701184",,
"ApplicationFrameHost","5","329","4294967295","29081600","8871936","20256",,,"0.578125",,,,,"Process","8",,"False",,"3860","Microsoft.Win32.SafeHandles.SafeProcessHandle","329","10096",".","197726","Calculator",,"1413120","204800",,"20256","20256","8871936","8871936","334280","334280","12107776","12107776","30834688","30834688","-1","4294967295","True","Normal","8871936","8871936","00:00:00.3906250","ApplicationFrameHost","255","True","5","System.Diagnostics.ProcessStartInfo","6/25/2023 7:53:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5781250","00:00:00.1875000","-1","4294967295","False",,,,"29081600","29081600",,
"AppVShNotify","0","150","4294967295","5828608","1650688","7920",,,"0.046875",,,,,"Process","8",,"False",,"5672","Microsoft.Win32.SafeHandles.SafeProcessHandle","150","5580",".","0","",,"1413120","204800",,"7920","7920","1650688","1650688","98088","98088","1867776","1867776","7987200","7987200","-1","4294967295","True","Normal","1650688","1650688","00:00:00","AppVShNotify","255","True","0","System.Diagnostics.ProcessStartInfo","6/20/2023 6:48:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0468750","-1","4294967295","False",,,,"5828608","5828608",,
"armsvc","0","126","69521408","7217152","1646592","8280","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","Adobe Inc.","0.015625","1.824.460.1047","1.824.460.1047","Acrobat Update Service","Acrobat Update Service","Process","8",,"False",,"2256","Microsoft.Win32.SafeHandles.SafeProcessHandle","126","8668",".","0","","System.Diagnostics.ProcessModule (armsvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8280","8280","1646592","1646592","74344","74344","1830912","1830912","7299072","7299072","73342976","73342976","True","Normal","1646592","1646592","00:00:00.0156250","armsvc","255","True","0","System.Diagnostics.ProcessStartInfo","6/25/2023 9:05:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","69521408","69521408","False",,,,"7217152","7217152",,
"audiodg","0","256","4294967295","20643840","10252288","13184",,,"1.328125",,,,,"Process","8",,"False",,"6036","Microsoft.Win32.SafeHandles.SafeProcessHandle","256","11044",".","0","",,"13516800","12308480",,"13184","13184","10252288","10252288","152864","152864","24449024","24449024","34955264","34955264","-1","4294967295","True","Normal","10252288","10252288","00:00:00.2343750","audiodg","255","True","0","System.Diagnostics.ProcessStartInfo","6/27/2023 2:21:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3281250","00:00:01.0937500","-1","4294967295","False",,,,"20643840","20643840",,
"BridgeCommunication","5","414","4294967295","28663808","6541312","20568",,,"0.1875",,,,,"Process","8",,"False",,"3620","Microsoft.Win32.SafeHandles.SafeProcessHandle","414","12580",".","0","",,"1413120","204800",,"20568","20568","6541312","6541312","256984","256984","6946816","6946816","28827648","28827648","-1","4294967295","True","Normal","6541312","6541312","00:00:00.1093750","BridgeCommunication","255","True","5","System.Diagnostics.ProcessStartInfo","6/27/2023 8:46:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0781250","-1","4294967295","False",,,,"28663808","28663808",,
"CalculatorApp","5","608","4294967295","2293760","32731136","45296",,,"1.484375",,,,,"Process","8",,"False",,"2188","Microsoft.Win32.SafeHandles.SafeProcessHandle","608","15788",".","131178","Calculator",,"1413120","204800",,"45296","45296","32731136","32731136","1053056","1053056","36155392","36155392","88743936","88743936","-1","4294967295","True","Normal","32731136","32731136","00:00:00.6093750","CalculatorApp","255","False","5","System.Diagnostics.ProcessStartInfo","6/25/2023 7:53:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.4843750","00:00:00.8750000","-1","4294967295","False",,,,"2293760","2293760",,
"chrome","5","234","4294967295","26415104","18595840","15904",,,"3.28125",,,,,"Process","8",,"False",,"6248","Microsoft.Win32.SafeHandles.SafeProcessHandle","234","1280",".","0","",,"1413120","204800",,"15904","15904","18595840","18595840","602680","602680","30138368","30138368","34050048","34050048","-1","4294967295","True","Normal","18595840","18595840","00:00:01.1093750","chrome","255","True","5","System.Diagnostics.ProcessStartInfo","6/25/2023 8:07:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.2812500","00:00:02.1718750","-1","4294967295","False",,,,"26415104","26415104",,
"chrome","5","320","4294967295","74010624","40132608","20368",,,"3.75",,,,,"Process","8",,"False",,"5824","Microsoft.Win32.SafeHandles.SafeProcessHandle","320","4024",".","0","",,"1413120","204800",,"20368","20368","40132608","40132608","630184","630184","46456832","46456832","79470592","79470592","-1","4294967295","True","Normal","40132608","40132608","00:00:00.6718750","chrome","255","True","5","System.Diagnostics.ProcessStartInfo","6/25/2023 8:07:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7500000","00:00:03.0781250","-1","4294967295","False",,,,"74010624","74010624",,
